Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.630859, Offer price is: 99.642578;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.630859, Offer price is: 99.642578;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.027344, Offer price is: 99.035156;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.027344, Offer price is: 99.035156;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.300781, Offer price is: 99.308594;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.300781, Offer price is: 99.308594;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.324219, Offer price is: 99.332031;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.324219, Offer price is: 99.332031;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.664063, Offer price is: 99.679688;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.664063, Offer price is: 99.679688;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.609375, Offer price is: 99.625000;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.609375, Offer price is: 99.625000;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.894531, Offer price is: 99.910156;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.894531, Offer price is: 99.910156;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.531250, Offer price is: 99.539063;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.531250, Offer price is: 99.539063;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.621094, Offer price is: 99.628906;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.621094, Offer price is: 99.628906;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.828125, Offer price is: 99.835938;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.828125, Offer price is: 99.835938;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.957031, Offer price is: 99.964844;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.957031, Offer price is: 99.964844;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.746094, Offer price is: 100.761719;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.746094, Offer price is: 100.761719;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.125000, Offer price is: 99.132813;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.125000, Offer price is: 99.132813;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.679688, Offer price is: 99.695313;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.679688, Offer price is: 99.695313;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.144531, Offer price is: 99.160156;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.144531, Offer price is: 99.160156;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.320313, Offer price is: 99.335938;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.320313, Offer price is: 99.335938;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.333984, Offer price is: 100.345703;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.333984, Offer price is: 100.345703;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.875000, Offer price is: 99.882813;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.875000, Offer price is: 99.882813;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.171875, Offer price is: 100.179688;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.171875, Offer price is: 100.179688;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.537109, Offer price is: 99.548828;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.537109, Offer price is: 99.548828;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 100.830078, Offer price is: 100.841797;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 100.830078, Offer price is: 100.841797;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 100.939453, Offer price is: 100.951172;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 100.939453, Offer price is: 100.951172;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.478516, Offer price is: 100.490234;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.478516, Offer price is: 100.490234;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.546875, Offer price is: 100.554688;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.546875, Offer price is: 100.554688;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.007813, Offer price is: 100.023438;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.007813, Offer price is: 100.023438;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.546875, Offer price is: 99.554688;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 99.546875, Offer price is: 99.554688;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.074219, Offer price is: 99.089844;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.074219, Offer price is: 99.089844;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 100.261719, Offer price is: 100.269531;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 100.261719, Offer price is: 100.269531;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.386719, Offer price is: 100.394531;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.386719, Offer price is: 100.394531;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.013672, Offer price is: 100.025391;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.013672, Offer price is: 100.025391;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.611328, Offer price is: 100.623047;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.611328, Offer price is: 100.623047;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.511719, Offer price is: 100.527344;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.511719, Offer price is: 100.527344;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 100.609375, Offer price is: 100.617188;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 100.609375, Offer price is: 100.617188;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.191406, Offer price is: 99.199219;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.191406, Offer price is: 99.199219;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.054688, Offer price is: 99.062500;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.054688, Offer price is: 99.062500;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.599609, Offer price is: 99.611328;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.599609, Offer price is: 99.611328;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.224609, Offer price is: 99.236328;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 99.224609, Offer price is: 99.236328;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.466797, Offer price is: 100.478516;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.466797, Offer price is: 100.478516;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.830078, Offer price is: 99.841797;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 99.830078, Offer price is: 99.841797;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.761719, Offer price is: 99.777344;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.761719, Offer price is: 99.777344;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.076172, Offer price is: 100.087891;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 100.076172, Offer price is: 100.087891;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.251953, Offer price is: 99.263672;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 99.251953, Offer price is: 99.263672;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.166016, Offer price is: 100.177734;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.166016, Offer price is: 100.177734;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.414063, Offer price is: 100.421875;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.414063, Offer price is: 100.421875;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 100.861328, Offer price is: 100.873047;
Product Id (CUSIP) is: 3137EAEC9, Bid price is: 100.861328, Offer price is: 100.873047;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.275391, Offer price is: 99.287109;
Product Id (CUSIP) is: 3137EADB2, Bid price is: 99.275391, Offer price is: 99.287109;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.953125, Offer price is: 99.968750;
Product Id (CUSIP) is: 3134A3U46, Bid price is: 99.953125, Offer price is: 99.968750;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.107422, Offer price is: 100.119141;
Product Id (CUSIP) is: 3134A4KX1, Bid price is: 100.107422, Offer price is: 100.119141;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.732422, Offer price is: 100.744141;
Product Id (CUSIP) is: 3137EAED7, Bid price is: 100.732422, Offer price is: 100.744141;
Product Id (CUSIP) is: 3137EAEB1, Bid price is: 100.601563, Offer price is: 100.617188;
